,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
14369,Hyundai Verna,2011,Diesel,110000,1582,1,Manual,22.32,5,400000,Hyundai
14370,Ford Ecosport,2014,Diesel,62000,1498,1,Manual,23.0,5,490000,Ford
14371,Mahindra Quanto,2012,Diesel,70000,1493,1,Manual,17.21,7,290000,Mahindra
14372,Toyota Etios,2015,Petrol,33000,1197,1,Manual,17.71,5,445000,Toyota
14373,Mini 5,2016,Diesel,24600,1496,1,Automatic,20.7,5,2675000,Mini
14374,Mahindra Ssangyong,2012,Diesel,81000,2696,1,Manual,12.83,7,500000,Mahindra
14375,Toyota Innova,2011,Diesel,199000,2494,1,Manual,12.99,8,500000,Toyota
14376,Hyundai Verna,2014,Petrol,70000,1591,1,Manual,17.01,5,610000,Hyundai
14378,Hyundai i20,2017,Petrol,32000,1197,1,Manual,18.6,5,595000,Hyundai
14379,Honda City,2016,Petrol,61000,1497,1,Manual,17.8,5,610000,Honda
14380,Maruti Wagon,2015,CNG,30000,998,1,Manual,32.52,5,350000,Maruti
14381,Tata Vista,2014,Diesel,82000,1248,1,Manual,22.3,5,160000,Tata
14382,Mahindra KUV,2016,Petrol,52000,1198,1,Manual,18.15,6,400000,Mahindra
14383,Mercedes-Benz C-Class,2015,Diesel,26000,2143,1,Automatic,19.27,5,1450000,Mercedes-Benz
14384,BMW 3,2010,Petrol,45000,1995,1,Automatic,12.05,5,675000,BMW
14385,Maruti Swift,2019,Diesel,22000,1248,1,Manual,28.4,5,680000,Maruti
14386,Hyundai Venue,2019,Petrol,27000,998,1,Manual,18.27,5,995000,Hyundai
14387,Hyundai Creta,2018,Diesel,25000,1582,1,Manual,19.67,5,1200000,Hyundai
14388,Maruti Celerio,2018,Petrol,20067,998,1,Manual,23.1,5,410000,Maruti
14389,Honda City,2017,Petrol,43000,1497,1,Manual,17.8,5,725000,Honda
14390,Maruti Swift,2017,Diesel,60000,1248,1,Manual,28.4,5,390000,Maruti
14391,Hyundai Grand,2014,Diesel,55000,1120,1,Manual,24.0,5,338000,Hyundai
14392,Skoda Superb,2016,Petrol,37000,1798,1,Automatic,14.67,5,1545000,Skoda
14393,Audi Q5,2015,Diesel,66000,1968,1,Automatic,14.16,5,2250000,Audi
14394,Mercedes-Benz E-Class,2010,Diesel,70599,2143,1,Automatic,14.21,5,875000,Mercedes-Benz
14395,BMW 3,2011,Diesel,108000,1995,1,Automatic,22.69,5,550000,BMW
14396,Hyundai i10,2013,Petrol,52000,1086,1,Manual,19.81,5,261000,Hyundai
14398,Skoda Superb,2014,Petrol,36000,1798,1,Automatic,13.7,5,1100000,Skoda
14399,Honda City,2017,Petrol,32000,1497,1,Manual,17.4,5,745000,Honda
14400,Toyota Fortuner,2009,Diesel,260000,2982,1,Manual,11.5,7,723000,Toyota
14401,Audi A6,2014,Diesel,57000,1968,1,Automatic,17.68,5,1885000,Audi
14402,Renault KWID,2017,Petrol,20000,999,1,Manual,23.01,5,375000,Renault
14403,Renault Duster,2013,Diesel,72354,1461,1,Manual,19.64,5,385000,Renault
14404,Hyundai i20,2010,Petrol,68523,1197,1,Manual,17.0,5,245000,Hyundai
14405,Maruti Swift,2015,Diesel,78000,1248,1,Manual,17.8,5,450000,Maruti
14406,Toyota Corolla,2015,Petrol,70533,1798,1,Automatic,14.28,5,1050000,Toyota
14407,Mercedes-Benz CLA,2016,Petrol,50000,1991,1,Automatic,15.04,5,3675000,Mercedes-Benz
14408,Skoda Rapid,2017,Petrol,35000,1598,1,Automatic,14.84,5,795000,Skoda
14409,Honda Amaze,2014,Diesel,43000,1498,1,Manual,25.8,5,299000,Honda
14410,Hyundai i10,2011,Petrol,64000,1197,1,Manual,20.36,5,235000,Hyundai
14411,Toyota Innova,2013,Diesel,70000,2494,1,Manual,12.99,7,690000,Toyota
14412,Maruti Ciaz,2017,Diesel,38000,1248,1,Manual,28.09,5,650000,Maruti
14413,Maruti Ritz,2012,Diesel,70000,1248,1,Manual,23.2,5,300000,Maruti
14414,Hyundai i20,2009,Petrol,51000,1197,1,Manual,17.0,5,230000,Hyundai
14415,Maruti Swift,2016,Diesel,81000,1248,1,Manual,25.2,5,435000,Maruti
14416,Mercedes-Benz A-Class,2015,Petrol,48000,1595,1,Automatic,15.5,5,1350000,Mercedes-Benz
14417,Maruti Baleno,2016,Petrol,32000,1197,1,Manual,21.4,5,620000,Maruti
14418,Maruti Swift,2019,Petrol,21099,1197,1,Manual,22.0,5,550000,Maruti
14419,Volkswagen Jetta,2010,Petrol,42500,1595,1,Manual,14.0,5,310000,Volkswagen
14420,Skoda Octavia,2014,Petrol,30000,1798,1,Automatic,14.7,5,945000,Skoda
14421,Nissan Micra,2012,Petrol,56000,1198,3,Manual,18.06,5,190000,Nissan
14422,Honda Brio,2014,Petrol,60000,1198,1,Manual,19.4,5,281000,Honda
14423,Hyundai i10,2015,Petrol,25000,1086,1,Manual,19.81,5,323000,Hyundai
14424,Isuzu D-Max,2016,Diesel,85000,2499,1,Manual,12.4,5,1290000,Isuzu
14425,Maruti Swift,2015,Petrol,16881,1197,1,Manual,20.85,5,525000,Maruti
14426,Hyundai i20,2018,Petrol,4000,1368,1,Automatic,18.6,5,790000,Hyundai
14427,Audi A3,2014,Diesel,22000,1968,1,Automatic,20.38,5,1550000,Audi
14428,Hyundai Verna,2008,Petrol,77000,1599,1,Manual,13.9,5,190000,Hyundai
14429,Mercedes-Benz C-Class,2018,Diesel,25000,2143,1,Automatic,19.27,5,3350000,Mercedes-Benz
14430,Audi Q3,2017,Diesel,65000,1968,1,Automatic,15.17,5,2275000,Audi
14431,Mini Cooper,2017,Petrol,6000,1598,1,Automatic,17.54,5,3250000,Mini
14432,Maruti Dzire,2008,Petrol,42000,1197,1,Manual,23.26,5,180000,Maruti
14433,Hyundai i20,2017,Petrol,45000,1197,1,Manual,18.6,5,625000,Hyundai
14434,Toyota Corolla,2011,Diesel,63000,1364,1,Manual,21.43,5,325000,Toyota
14435,Honda Jazz,2016,Diesel,54000,1498,1,Manual,27.3,5,400000,Honda
14436,Toyota Innova,2014,Diesel,52000,2494,1,Manual,12.99,7,825000,Toyota
14437,Mercedes-Benz GL-Class,2013,Diesel,70000,2987,1,Automatic,11.3,7,3150000,Mercedes-Benz
14438,Hyundai Creta,2015,Petrol,47000,1591,1,Manual,15.8,5,840000,Hyundai
14439,Hyundai Verna,2015,Petrol,40000,1396,1,Manual,17.43,5,580000,Hyundai
14440,Hyundai Venue,2019,Petrol,26000,998,1,Automatic,18.15,5,1000000,Hyundai
14441,Hyundai i10,2013,Petrol,68000,1197,1,Manual,20.36,5,270000,Hyundai
14442,BMW 5,2017,Diesel,30000,1995,1,Automatic,18.12,5,3100000,BMW
14443,Audi A4,2014,Diesel,60000,1968,1,Automatic,17.11,5,1275000,Audi
14444,Renault Duster,2016,Diesel,68000,1461,1,Manual,20.45,5,585000,Renault
14445,Maruti Alto,2016,Petrol,50000,998,1,Automatic,23.95,5,335000,Maruti
14446,Ford Ecosport,2014,Diesel,68111,1498,1,Manual,22.7,5,525000,Ford
14447,Maruti Wagon,2014,Petrol,86000,998,1,Manual,18.9,5,315000,Maruti
14448,Maruti Swift,2014,Diesel,50000,1248,1,Manual,17.8,5,395000,Maruti
14449,Honda Brio,2012,Petrol,75000,1198,1,Manual,19.4,5,250000,Honda
14450,Porsche Cayenne,2012,Diesel,82000,2967,1,Automatic,15.15,5,2575000,Porsche
14451,Audi Q7,2016,Diesel,52476,2967,1,Automatic,12.07,7,3125000,Audi
14452,Hyundai EON,2014,Petrol,43000,814,1,Manual,21.1,5,250000,Hyundai
14453,Hyundai Creta,2018,Petrol,21500,1591,1,Automatic,13.0,5,1245000,Hyundai
14455,Ford Ikon,2007,Petrol,100000,1299,1,Manual,13.8,5,120000,Ford
14456,Hyundai Creta,2018,Diesel,14548,1582,1,Manual,19.67,5,1175000,Hyundai
14457,Maruti Baleno,2016,Petrol,31000,1197,1,Automatic,21.4,5,650000,Maruti
14458,Toyota Etios,2011,Petrol,53000,1496,1,Manual,16.78,5,280000,Toyota
14459,Honda Amaze,2015,Petrol,50000,1198,1,Automatic,15.5,5,400000,Honda
14460,Hyundai i20,2014,Diesel,100000,1396,1,Manual,22.54,5,500000,Hyundai
14461,Toyota Corolla,2012,Petrol,64000,1798,1,Manual,14.53,5,470000,Toyota
14462,Maruti Swift,2017,Petrol,89000,1197,1,Manual,20.85,5,510000,Maruti
14463,Maruti Ertiga,2019,Diesel,22000,1248,1,Manual,24.52,7,1050000,Maruti
14464,Nissan Micra,2014,Diesel,60000,1461,1,Manual,23.08,5,300000,Nissan
14465,Maruti Ciaz,2017,Diesel,46991,1248,1,Manual,28.09,5,703000,Maruti
14466,Maruti Wagon,2012,CNG,71000,998,1,Manual,33.54,5,275000,Maruti
14467,Hyundai Verna,2017,Petrol,40000,1591,1,Manual,17.01,5,750000,Hyundai
14468,Maruti Eeco,2018,CNG,12572,1196,1,Manual,21.94,5,343000,Maruti
14469,Kia Seltos,2019,Diesel,1200,1493,1,Manual,20.8,5,1675000,Kia
14470,Maruti Ciaz,2015,Petrol,54000,1373,1,Manual,20.73,5,515000,Maruti
14471,Honda Amaze,2019,Diesel,13000,1498,1,Automatic,21.0,5,930000,Honda
14472,Hyundai Verna,2013,Diesel,82286,1582,1,Manual,22.32,5,450000,Hyundai
14473,Mahindra XUV300,2020,Petrol,4713,1197,1,Manual,17.0,5,950000,Mahindra
14474,Maruti Alto,2019,Petrol,33000,998,1,Manual,23.95,5,375000,Maruti
14475,Toyota Innova,2017,Diesel,55000,2393,1,Manual,13.68,7,1450000,Toyota
14476,Hyundai i20,2019,Petrol,5000,1197,1,Manual,18.6,5,624000,Hyundai
14477,Maruti Swift,2016,Diesel,52000,1248,1,Manual,28.4,5,550000,Maruti
14479,BMW 3,2013,Diesel,69000,1995,1,Automatic,18.88,5,1460000,BMW
14480,Renault KWID,2018,Petrol,48353,799,1,Manual,25.17,5,247000,Renault
14481,Toyota Fortuner,2014,Diesel,48000,2982,1,Automatic,12.55,7,1590000,Toyota
14482,Hyundai Grand,2015,Diesel,112000,1120,1,Manual,24.0,5,350000,Hyundai
14483,Hyundai i10,2011,Petrol,62000,1197,1,Manual,20.36,5,199000,Hyundai
14484,Toyota Fortuner,2013,Diesel,83000,2982,1,Automatic,12.55,7,1280000,Toyota
14485,Maruti Baleno,2016,Petrol,41000,1197,1,Manual,21.4,5,579000,Maruti
14486,Volkswagen Polo,2015,Petrol,33000,1199,1,Manual,16.2,5,475000,Volkswagen
14487,Mahindra XUV500,2011,Diesel,71000,2179,1,Manual,15.1,7,450000,Mahindra
14488,Maruti Swift,2018,Petrol,36000,1197,1,Manual,22.0,5,565000,Maruti
14489,Ford Ecosport,2015,Diesel,30000,1498,1,Manual,22.77,5,565000,Ford
14490,Maruti Swift,2014,Diesel,90000,1248,1,Manual,23.4,5,360000,Maruti
14491,Jaguar XF,2015,Diesel,23000,2179,1,Automatic,16.36,5,2100000,Jaguar
14492,Maruti Ciaz,2015,Petrol,73000,1373,1,Manual,20.73,5,550000,Maruti
14493,Mahindra XUV500,2017,Diesel,43000,1997,1,Automatic,16.0,7,1195000,Mahindra
14494,Hyundai Grand,2016,Petrol,45000,1197,1,Manual,18.9,5,450000,Hyundai
14495,Mahindra XUV500,2015,Diesel,70000,2179,1,Manual,16.0,7,900000,Mahindra
14496,Honda City,2018,Petrol,29006,1497,1,Manual,17.4,5,875000,Honda
14497,Renault KWID,2016,Petrol,27000,799,1,Manual,25.17,5,265000,Renault
14498,BMW 3,2013,Diesel,73000,1995,1,Automatic,18.88,5,1078000,BMW
14499,Hyundai Grand,2015,Petrol,65481,1197,1,Manual,18.9,5,434000,Hyundai
14500,Toyota Innova,2015,Diesel,70000,2494,1,Manual,12.8,7,885000,Toyota
14501,Hyundai Venue,2019,Petrol,27589,998,1,Manual,18.27,5,1040000,Hyundai
14502,Hyundai i20,2011,Petrol,53000,1197,1,Manual,18.5,5,270000,Hyundai
14503,Toyota Camry,2016,Petrol,60000,2487,1,Automatic,19.16,5,1950000,Toyota
14504,Nissan Sunny,2013,Petrol,63001,1498,1,Manual,16.95,5,349000,Nissan
14505,Datsun redi-GO,2016,Petrol,50000,999,1,Manual,21.7,5,325000,Datsun
14506,Maruti Alto,2013,Petrol,42000,998,1,Manual,20.92,5,225000,Maruti
14507,Hyundai i20,2018,Petrol,24000,1197,1,Manual,18.6,5,615000,Hyundai
14508,Honda City,2011,Petrol,68000,1497,1,Manual,17.0,5,350000,Honda
14509,Hyundai EON,2017,Petrol,14793,998,1,Manual,20.3,5,312000,Hyundai
14510,Maruti Swift,2015,Diesel,63000,1248,1,Manual,19.3,5,490000,Maruti
14511,Hyundai Verna,2015,Petrol,36619,1591,1,Manual,17.01,5,625000,Hyundai
14512,Volkswagen Vento,2014,Petrol,59000,1598,1,Manual,15.04,5,450000,Volkswagen
14513,Hyundai i10,2011,Petrol,61000,1197,1,Automatic,16.95,5,260000,Hyundai
14514,Toyota Etios,2012,Petrol,52000,1496,1,Manual,17.6,5,345000,Toyota
14515,Mercedes-Benz E-Class,2012,Diesel,72000,2148,1,Automatic,10.0,5,1155000,Mercedes-Benz
14516,Hyundai EON,2013,Petrol,420000,998,1,Manual,20.3,5,225000,Hyundai
14517,Mahindra Scorpio,2017,Diesel,110000,1997,1,Manual,15.4,7,1120000,Mahindra
14518,Maruti Ignis,2017,Petrol,15000,1197,1,Manual,20.89,5,545000,Maruti
14519,Mercedes-Benz E-Class,2014,Diesel,69000,2987,1,Automatic,13.0,5,2490000,Mercedes-Benz
14520,Honda Brio,2013,Petrol,68150,1198,1,Manual,19.4,5,300000,Honda
14521,Volkswagen Polo,2014,Diesel,36000,1498,1,Manual,20.14,5,465000,Volkswagen
14522,Maruti Swift,2010,Petrol,57000,1477,1,Manual,16.1,5,240000,Maruti
14524,Hyundai Xcent,2016,Petrol,21000,1197,1,Manual,20.14,5,445000,Hyundai
14525,Hyundai Verna,2013,Diesel,60000,1582,1,Manual,22.32,5,460000,Hyundai
14526,Honda City,2016,Diesel,85000,1498,1,Manual,26.0,5,900000,Honda
14527,Maruti Wagon,2015,Petrol,20000,998,1,Manual,20.51,5,325000,Maruti
14528,Mercedes-Benz C-Class,2017,Diesel,58000,2143,1,Automatic,19.71,5,2800000,Mercedes-Benz
14529,Honda City,2018,Diesel,40000,1498,1,Manual,25.6,5,940000,Honda
14530,Ford Freestyle,2020,Petrol,3957,1194,1,Manual,19.0,5,570000,Ford
14531,Maruti Wagon,2017,CNG,75000,998,1,Manual,33.54,5,375000,Maruti
14532,Maruti Ertiga,2017,Petrol,40000,1462,1,Manual,19.34,7,750000,Maruti
14534,BMW 7,2011,Diesel,78000,2993,1,Automatic,16.46,5,1645000,BMW
14535,Volkswagen Vento,2015,Petrol,52000,1598,1,Manual,16.09,5,495000,Volkswagen
14536,Toyota Innova,2018,Diesel,95000,2393,1,Manual,13.68,7,1194000,Toyota
14537,Ford Ecosport,2019,Diesel,5500,1498,1,Manual,23.0,5,975000,Ford
14538,Toyota Etios,2011,Petrol,61000,1496,1,Manual,17.6,5,285000,Toyota
14539,Honda City,2009,Petrol,65344,1497,1,Manual,17.0,5,295000,Honda
14540,Maruti Ciaz,2019,Petrol,14000,1462,1,Manual,21.56,5,825000,Maruti
14541,Kia Seltos,2020,Petrol,8000,1497,1,Manual,16.8,5,1290000,Kia
14542,Toyota Fortuner,2018,Diesel,32000,2755,1,Automatic,12.9,7,2950000,Toyota
14543,Audi A4,2013,Diesel,75000,1968,1,Automatic,17.11,5,1350000,Audi
14544,Maruti Ciaz,2019,Petrol,2500,1373,1,Manual,20.73,5,849000,Maruti
14545,Tata Nexon,2018,Petrol,35000,1198,1,Manual,17.0,5,700000,Tata
14546,Maruti Alto,2012,CNG,65000,796,1,Manual,30.46,5,175000,Maruti
14547,Hyundai Venue,2019,Diesel,21280,1396,1,Manual,23.7,5,900000,Hyundai
14548,Hyundai i10,2014,Petrol,49000,1086,1,Manual,19.81,5,265000,Hyundai
14549,Hyundai EON,2016,Petrol,22000,814,1,Manual,21.1,5,225000,Hyundai
14550,Audi A6,2012,Diesel,44000,1968,1,Automatic,17.68,5,1325000,Audi
14551,Volkswagen Jetta,2012,Petrol,45000,1390,1,Manual,14.69,5,475000,Volkswagen
14552,Maruti Swift,2014,Petrol,74326,1197,1,Manual,19.1,5,400000,Maruti
14553,Mahindra XUV500,2017,Diesel,50000,2179,1,Manual,16.0,7,1350000,Mahindra
14554,Honda Amaze,2017,Petrol,51000,1198,1,Manual,17.8,5,485000,Honda
14555,Hyundai i10,2008,Petrol,61000,1086,1,Manual,19.81,5,165000,Hyundai
14556,Honda City,2008,Petrol,59500,1497,1,Manual,17.0,5,220000,Honda
14557,Honda Jazz,2017,Petrol,525000,1199,1,Manual,18.7,5,525000,Honda
14558,Tata Aria,2012,Diesel,50000,2197,1,Manual,13.7,7,325000,Tata
14560,Honda City,2016,Petrol,20000,1497,1,Manual,17.8,5,710000,Honda
14561,Mahindra KUV100,2018,Diesel,80000,1198,1,Manual,25.32,6,450000,Mahindra
14562,Toyota Etios,2013,Petrol,35000,1197,1,Manual,17.71,5,295000,Toyota
14563,Volvo S60,2012,Diesel,59000,2400,1,Automatic,21.7,5,750000,Volvo
14564,Hyundai i10,2012,Petrol,50000,1086,1,Manual,19.81,5,230000,Hyundai
14565,BMW 3,2012,Diesel,60000,1995,1,Automatic,16.07,4,1250000,BMW
14567,Hyundai Grand,2014,Petrol,56454,1197,1,Manual,18.9,5,375000,Hyundai
14568,Ford Aspire,2016,Diesel,55000,1498,1,Manual,25.83,5,435000,Ford
14569,Hyundai Verna,2016,Petrol,23251,1591,1,Manual,17.01,5,700000,Hyundai
14570,Maruti Swift,2014,Diesel,55000,1248,1,Manual,28.4,5,360000,Maruti
14571,Honda City,2009,Petrol,65000,1497,1,Manual,17.0,5,270000,Honda
14572,Renault Duster,2012,Diesel,68000,1461,1,Manual,19.87,5,370000,Renault
14573,Maruti Swift,2017,Diesel,77500,1248,1,Manual,28.4,5,525000,Maruti
14574,Toyota Innova,2012,Diesel,70000,2494,1,Manual,12.99,7,575000,Toyota
14575,Maruti Baleno,2016,Petrol,60201,1197,1,Manual,21.01,5,490000,Maruti
14576,Hyundai Xcent,2018,Petrol,30000,1197,1,Manual,20.14,5,500000,Hyundai
14577,Maruti Alto,2011,Petrol,24895,998,1,Manual,20.92,5,185000,Maruti
14578,Skoda Rapid,2015,Diesel,70000,1498,1,Manual,21.14,5,499000,Skoda
14579,Hyundai Venue,2019,Petrol,27000,998,1,Manual,18.27,5,1025000,Hyundai
14580,Hyundai Verna,2018,Diesel,48000,1582,1,Automatic,22.0,5,1090000,Hyundai
14582,Maruti Baleno,2017,Diesel,60000,1248,1,Manual,27.39,5,599000,Maruti
