,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
21003,Honda Amaze,2019,1,16735,1199,1,1,18.6,5,713000,Honda
21004,Maruti Alto,2018,1,10187,796,1,1,24.7,5,320000,Maruti
21005,Maruti Wagon,2013,1,40283,998,1,1,21.79,5,280000,Maruti
21006,Maruti Alto,2018,1,14672,998,1,1,23.95,5,348000,Maruti
21007,Hyundai i20,2015,1,52632,1197,1,1,18.6,5,466000,Hyundai
21008,Maruti Vitara,2017,2,72008,1248,1,1,24.3,5,664000,Maruti
21009,Maruti Swift,2015,2,88462,1248,1,1,26.59,5,445000,Maruti
21010,Chevrolet Cruze,2011,2,71000,1991,1,2,18.1,4,225000,Chevrolet
21011,Mg Hector,2021,2,40000,1956,1,1,16.65,6,2050000,Mg
21012,Mini Cooper,2013,1,36000,1598,2,2,13.6,4,2350000,Mini
21013,Mahindra Kuv,2016,2,30257,1198,1,1,25.32,5,290000,Mahindra
21014,Maruti Wagon,2016,1,9487,998,1,1,20.51,5,350000,Maruti
21016,Maruti Alto,2015,1,70620,998,1,1,23.95,5,265000,Maruti
21017,Hyundai Grand,2015,1,69208,1197,1,1,18.9,5,376000,Hyundai
21018,Hyundai i20,2015,1,52632,1197,1,1,18.6,5,466000,Hyundai
21019,Maruti Wagon,2013,1,40283,998,1,1,21.79,5,280000,Maruti
21020,Maruti Ciaz,2018,1,32066,1462,1,1,20.65,5,879000,Maruti
21021,Maruti Baleno,2020,1,2279,1197,2,1,21.4,5,733000,Maruti
21022,Maruti Alto,2020,1,31410,796,1,1,22.05,5,348000,Maruti
21023,Hyundai i20,2016,1,76220,1197,1,1,18.6,5,550000,Hyundai
21024,Maruti Alto,2020,1,7326,796,1,1,19.7,5,382000,Maruti
21025,Toyota Glanza,2019,1,33740,1197,1,1,21.01,5,702000,Toyota
21026,Maruti Baleno,2019,1,27915,1197,1,1,21.4,5,695000,Maruti
21027,Hyundai i20,2017,1,68938,1197,2,1,18.6,5,547000,Hyundai
21028,Hyundai Grand,2019,1,9023,1197,1,1,18.9,5,560000,Hyundai
21029,Maruti Swift,2013,1,74842,1197,1,1,18.6,5,322000,Maruti
21030,Maruti Baleno,2019,1,19282,1197,1,1,21.01,5,649000,Maruti
21031,Hyundai Grand,2017,1,23079,1197,1,1,18.9,5,485000,Hyundai
21032,Tata Tiago,2019,1,22504,1199,1,1,23.84,5,525000,Tata
21033,Ford Ecosport,2013,2,71150,1498,1,1,22.7,5,441000,Ford
21034,Hyundai Verna,2019,1,15775,1591,1,1,17.0,5,1024000,Hyundai
21035,Maruti Swift,2016,1,86247,1197,1,1,20.4,5,420000,Maruti
21036,Hyundai i10,2015,1,83058,1086,1,1,19.81,5,328000,Hyundai
21037,Renault Triber,2020,1,17302,999,1,1,20.0,7,590000,Renault
21038,Maruti Vitara,2017,2,72008,1248,1,1,24.3,5,664000,Maruti
21039,Maruti Swift,2014,1,100712,1197,1,1,18.6,5,355000,Maruti
21040,Honda Amaze,2019,1,16735,1199,1,1,18.6,5,713000,Honda
21041,Maruti S-Presso,2020,1,33152,998,1,1,21.7,5,457000,Maruti
21042,Volkswagen Polo,2016,1,22851,1199,1,1,16.2,5,446000,Volkswagen
21043,Toyota Yaris,2018,1,11318,1496,1,1,17.1,5,897000,Toyota
21044,Maruti Wagon,2019,1,47756,998,1,1,20.51,5,499000,Maruti
21045,Maruti Swift,2015,2,64758,1248,2,1,25.2,5,455000,Maruti
21046,Maruti Alto,2020,1,6712,796,1,1,19.7,5,343000,Maruti
21047,Hyundai i20,2018,1,28451,1197,1,1,18.6,5,657000,Hyundai
21048,Tata Tiago,2018,1,81696,1199,1,1,23.84,5,436000,Tata
21049,Maruti Swift,2013,1,47988,1197,1,1,18.6,5,380000,Maruti
21050,Maruti Swift,2015,1,58607,1197,1,1,20.85,5,459000,Maruti
21051,Maruti S-Presso,2021,1,2237,998,1,1,21.7,5,511000,Maruti
21052,Renault Duster,2016,2,72841,1461,1,2,19.6,5,597000,Renault
21053,Maruti Swift,2014,2,114345,1248,1,1,22.9,5,346000,Maruti
21054,Skoda Rapid,2013,1,43444,1598,2,1,15.0,5,308000,Skoda
21055,Maruti Swift,2014,2,117915,1248,1,1,22.9,5,344000,Maruti
21056,Maruti Ciaz,2014,2,65952,1248,2,1,26.21,5,503000,Maruti
21057,Toyota Etios,2013,1,84655,1496,1,1,16.78,5,360000,Toyota
21058,Maruti Baleno,2017,1,23641,1197,1,2,21.4,5,610000,Maruti
21059,Maruti Swift,2015,2,94672,1248,2,1,25.2,5,396000,Maruti
21060,Maruti Vitara,2018,2,76981,1248,1,2,24.3,5,870000,Maruti
21061,Kia Seltos,2019,1,20114,1497,1,1,16.8,5,1100000,Kia
21062,Honda Brio,2014,1,19311,1198,1,1,19.4,5,345000,Honda
21063,Maruti Baleno,2016,1,75551,1197,1,1,21.4,5,565000,Maruti
21064,Maruti Ciaz,2016,2,69842,1248,2,1,28.09,5,543000,Maruti
